id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,is_legendary,is_mythical,dex_number,tier,abilities,types,is_fully_evolved,has_recovery,has_setup,has_priority,has_pivot,has_hazards,has_status,total_moves,coverage_types,avg_power
1,bulbasaur,grass,poison,45,49,49,65,65,45,False,False,1,LC,"Overgrow, Chlorophyll","Grass, Poison",False,True,True,False,False,False,True,47,4,72.8
2,ivysaur,grass,poison,60,62,63,80,80,60,False,False,2,NFE,"Overgrow, Chlorophyll","Grass, Poison",False,True,True,False,False,False,True,48,4,72.8
3,venusaur,grass,poison,80,82,83,100,100,80,False,False,3,ZU,"Overgrow, Chlorophyll","Grass, Poison",True,True,True,False,False,False,True,59,5,81.32
4,charmander,fire,,39,52,43,60,50,65,False,False,4,LC,"Blaze, Solar Power",Fire,False,True,True,False,False,False,False,58,10,77.86
5,charmeleon,fire,,58,64,58,80,65,80,False,False,5,NFE,"Blaze, Solar Power",Fire,False,True,True,False,False,False,False,58,10,77.86
6,charizard,fire,flying,78,84,78,109,85,100,False,False,6,ZU,"Blaze, Solar Power","Fire, Flying",True,True,True,False,False,False,False,73,12,82.96
7,squirtle,water,,44,48,65,50,64,43,False,False,7,LC,"Torrent, Rain Dish",Water,False,True,True,True,True,False,False,53,8,76.21
8,wartortle,water,,59,63,80,65,80,58,False,False,8,NFE,"Torrent, Rain Dish",Water,False,True,True,True,True,False,False,53,8,76.21
9,blastoise,water,,79,83,100,85,105,78,False,False,9,RUBL,"Torrent, Rain Dish",Water,True,True,True,True,True,False,False,70,10,81.56
23,ekans,poison,,35,60,44,40,54,55,False,False,23,LC,"Intimidate, Shed Skin, Unnerve",Poison,False,True,True,True,False,True,True,57,10,68.47
24,arbok,poison,,60,95,69,65,79,80,False,False,24,ZU,"Intimidate, Shed Skin, Unnerve",Poison,True,True,True,True,False,True,True,68,12,72.07
25,pikachu,electric,,35,55,40,50,50,90,False,False,25,ZU,"Static, Lightning Rod",Electric,False,True,True,True,True,False,True,59,9,70.81
26,raichu,electric,,60,90,55,90,80,110,False,False,26,ZU,"Static, Lightning Rod",Electric,True,True,True,True,True,False,True,61,9,76.91
27,sandshrew,ground,,50,75,85,20,30,40,False,False,27,LC,"Sand Veil, Sand Rush",Ground,False,True,True,False,False,True,False,60,10,66.84
28,sandslash,ground,,75,100,110,45,55,65,False,False,28,ZU,"Sand Veil, Sand Rush",Ground,True,True,True,False,False,True,False,66,10,73.67
35,clefairy,fairy,,70,45,48,60,65,35,False,False,35,NFE,"Cute Charm, Magic Guard, Friend Guard",Fairy,False,True,True,False,False,True,True,90,15,78.44
36,clefable,fairy,,95,70,73,95,90,60,False,False,36,OU,"Cute Charm, Magic Guard, Unaware",Fairy,True,True,True,False,False,True,True,94,15,83.06
37,vulpix,fire,,38,41,40,50,65,65,False,False,37,NFE,"Flash Fire, Drought",Fire,False,True,True,True,False,False,False,52,7,76.92
38,ninetales,fire,,73,76,75,81,100,100,False,False,38,ZU,"Flash Fire, Drought",Fire,True,True,True,True,False,False,False,56,7,82.41
39,jigglypuff,normal,fairy,115,45,20,45,25,20,False,False,39,NFE,"Cute Charm, Competitive, Friend Guard","Normal, Fairy",False,True,True,False,False,True,True,89,13,77.04
40,wigglytuff,normal,fairy,140,70,45,85,50,45,False,False,40,ZU,"Cute Charm, Competitive, Frisk","Normal, Fairy",True,True,True,False,False,True,True,93,13,80.66
43,oddish,grass,poison,45,50,55,75,65,30,False,False,43,LC,"Chlorophyll, Run Away","Grass, Poison",False,True,True,False,False,False,True,46,4,70.0
44,gloom,grass,poison,60,65,70,85,75,40,False,False,44,NFE,"Chlorophyll, Stench","Grass, Poison",False,True,True,False,False,False,True,48,5,71.82
45,vileplume,grass,poison,75,80,85,110,90,50,False,False,45,PU,"Chlorophyll, Effect Spore","Grass, Poison",True,True,True,False,False,False,True,56,6,79.83
